                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.55846,                0.98037,                0.44811,                 1.0684,                0.86049,                0.95652,                0.93095,                0.65343,                0.76894,                0.79593,                0.77158,                0.49571,                 1.1489,                 3.3585,                0.75608,                 2.0191,              0.0004358,              0.0004358,              0.0004358
                     81,                0.53111,                0.93256,                0.43758,                 1.0534,                0.87539,                0.93478,                0.95481,                0.68422,                0.87435,                0.75644,                0.80053,                0.51421,                0.97042,                 1.9417,                0.70941,                 1.5987,               0.000416,               0.000416,               0.000416
                     82,                 0.5547,                 0.9665,                0.44671,                 1.0615,                0.93555,                0.94677,                0.96438,                0.67231,                0.92294,                0.78261,                0.81186,                0.53549,                 1.0007,                 1.8049,                0.64558,                 1.6723,              0.0003962,              0.0003962,              0.0003962
                     83,                0.52825,                0.93204,                0.42279,                 1.0519,                0.93163,                0.88877,                0.94688,                0.64343,                0.89692,                0.82609,                0.82794,                0.52717,                0.98238,                 1.7765,                0.69754,                 1.6738,              0.0003764,              0.0003764,              0.0003764
                     84,                0.55872,                 0.9557,                 0.4403,                 1.0636,                0.91805,                0.97418,                0.96901,                0.65747,                 0.9033,                0.78261,                0.82105,                 0.5343,                 1.0525,                 2.0072,                0.66987,                 1.7845,              0.0003566,              0.0003566,              0.0003566
                     85,                0.52983,                0.92994,                0.41589,                 1.0433,                 0.9153,                0.91304,                0.95772,                0.69776,                0.94571,                 0.7575,                  0.818,                 0.5392,                 1.0248,                 1.8346,                0.65219,                 1.6926,              0.0003368,              0.0003368,              0.0003368
                     86,                0.53106,                0.93836,                0.40602,                 1.0502,                0.91036,                0.93478,                0.96242,                0.69579,                0.93749,                0.76087,                0.82337,                0.54627,                0.99848,                 1.9106,                0.65635,                 1.7015,               0.000317,               0.000317,               0.000317
                     87,                0.52843,                0.94589,                0.42178,                 1.0435,                0.95341,                0.88982,                0.95967,                0.71673,                0.94417,                0.80435,                0.80484,                0.56362,                 1.0223,                 2.5419,                0.66176,                 1.7999,              0.0002972,              0.0002972,              0.0002972
                     88,                0.50938,                0.88318,                0.40089,                 1.0331,                0.84148,                0.95652,                0.95121,                0.71967,                0.96273,                0.78261,                 0.8018,                0.56624,                0.97222,                 2.2545,                0.64562,                 1.6626,              0.0002774,              0.0002774,              0.0002774
                     89,                0.50153,                0.89556,                0.38682,                 1.0305,                0.93004,                0.86703,                0.94016,                0.71954,                0.95535,                0.78261,                0.79943,                0.55205,                0.88901,                 2.1148,                0.65549,                  1.537,              0.0002576,              0.0002576,              0.0002576
                     90,                0.50978,                0.86417,                0.38574,                 1.0257,                0.86856,                0.91304,                0.95035,                0.70284,                0.96492,                0.80435,                0.84375,                0.52996,                0.95812,                 1.8761,                0.63341,                 1.6337,              0.0002378,              0.0002378,              0.0002378
                     91,                0.46356,                0.61461,                0.45585,                 1.1688,                0.90472,                0.91304,                0.93433,                0.60817,                0.86147,                0.82609,                0.79781,                0.48519,                 1.2439,                 2.0369,                0.69565,                 2.0785,               0.000218,               0.000218,               0.000218
                     92,                0.42551,                0.56945,                0.36333,                 1.1402,                0.95377,                 0.8913,                0.97064,                0.70381,                0.88415,                0.78261,                0.79381,                 0.5361,                0.97851,                 2.5185,                0.63199,                 1.7133,              0.0001982,              0.0001982,              0.0001982
                     93,                0.40773,                0.54997,                0.32805,                 1.0969,                0.95017,                0.95652,                0.97178,                0.69117,                 0.8573,                0.80435,                0.78436,                 0.5291,                0.99531,                 2.5431,                0.59165,                 1.8149,              0.0001784,              0.0001784,              0.0001784
                     94,                0.41731,                0.53391,                 0.3223,                 1.1294,                0.93254,                0.93478,                0.96858,                0.72836,                0.92605,                0.82609,                0.83107,                0.54849,                0.94223,                 2.4953,                0.57808,                 1.6578,              0.0001586,              0.0001586,              0.0001586
                     95,                0.38338,                0.53905,                0.31947,                 1.0927,                0.97344,                 0.8913,                0.95899,                0.72728,                0.92506,                0.80435,                0.82761,                0.56491,                0.90254,                  2.147,                0.56874,                 1.6059,              0.0001388,              0.0001388,              0.0001388
                     96,                  0.363,                 0.5323,                0.30568,                  1.066,                0.96919,                0.86957,                0.96332,                0.72454,                0.90603,                0.80435,                0.82991,                0.57552,                 0.9052,                 2.2643,                0.57705,                 1.6297,               0.000119,               0.000119,               0.000119
                     97,                0.35816,                 0.5045,                0.29504,                 1.0687,                0.95314,                0.88438,                0.96059,                0.70584,                0.89369,                0.80435,                 0.8183,                0.55299,                0.92461,                 2.1688,                0.61688,                 1.6066,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.36394,                0.52993,                0.29556,                 1.0765,                0.96865,                0.86957,                0.95906,                0.72343,                0.92142,                0.82609,                0.82864,                0.54628,                0.96471,                 2.3033,                0.63526,                 1.6678,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.33382,                0.49923,                0.28015,                 1.0393,                 0.9333,                0.91263,                0.95964,                0.71311,                0.90734,                0.82609,                0.83322,                0.55492,                0.94964,                 2.3651,                0.61269,                 1.6883,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.3329,                0.49081,                0.28289,                 1.0389,                0.91268,                0.90891,                0.95818,                  0.727,                0.90203,                0.82609,                0.82512,                0.57204,                 0.9522,                 2.3798,                0.61516,                 1.6827,               3.98e-05,               3.98e-05,               3.98e-05
